RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
107,Alc,male,53,7,4,0.247,EtOH,30_mins,120,125,Model,6
109,Ctrl,male,53,7,4,0.246,EtOH,30_mins,122,120,Model,6
110,Alc,male,53,7,4,0.266,EtOH,30_mins,119,123,Model,6
88,Alc,female,53,7,4,0.188,EtOH,24_hrs,107,101,Model,6
89,Ctrl,female,53,7,4,0.211,EtOH,24_hrs,121,93,Model,6
90,Ctrl,female,53,7,4,0.194,EtOH,24_hrs,85,120,Model,6
92,Ctrl,female,53,7,4,0.209,EtOH,24_hrs,89,118,Model,6
93,Ctrl,female,53,7,4,0.195,EtOH,24_hrs,117,91,Model,6
94,Alc,female,53,7,4,0.192,EtOH,24_hrs,116,96,Model,6
97,Alc,female,53,7,4,0.115,EtOH,24_hrs,109,125,Model,6
99,Alc,female,53,7,4,0.229,EtOH,24_hrs,122,88,Model,6
101,Alc,male,53,7,4,0.3,EtOH,24_hrs,111,84,Model,6
102,Ctrl,male,53,7,4,0.24,EtOH,24_hrs,86,110,Model,6
103,Alc,male,53,7,4,0.286,EtOH,24_hrs,116,71,Model,6
105,Ctrl,male,53,7,4,0.289,EtOH,24_hrs,73,114,Model,6
106,Ctrl,male,53,7,4,0.27,EtOH,24_hrs,73,124,Model,6
107,Alc,male,53,7,4,0.247,EtOH,24_hrs,105,101,Model,6
109,Ctrl,male,53,7,4,0.246,EtOH,24_hrs,120,75,Model,6
110,Alc,male,53,7,4,0.266,EtOH,24_hrs,114,72,Model,6
88,Alc,female,54,8,4,0.192,H2O,start,125,123,Model,6
89,Ctrl,female,54,8,4,0.206,H2O,start,127,122,Model,6
90,Ctrl,female,54,8,4,0.2,H2O,start,127,125,Model,6
92,Ctrl,female,54,8,4,0.222,H2O,start,122,123,Model,6
93,Ctrl,female,54,8,4,0.195,H2O,start,127,126,Model,6
94,Alc,female,54,8,4,0.2,H2O,start,123,125,Model,6
97,Alc,female,54,8,4,0.126,H2O,start,125,125,Model,6
99,Alc,female,54,8,4,0.236,H2O,start,121,125,Model,6
101,Alc,male,54,8,4,0.304,H2O,start,123,125,Model,6
102,Ctrl,male,54,8,4,0.247,H2O,start,124,126,Model,6
103,Alc,male,54,8,4,0.3,H2O,start,125,124,Model,6
105,Ctrl,male,54,8,4,0.292,H2O,start,124,125,Model,6
106,Ctrl,male,54,8,4,0.272,H2O,start,125,123,Model,6
107,Alc,male,54,8,4,0.247,H2O,start,120,125,Model,6
109,Ctrl,male,54,8,4,0.255,H2O,start,126,122,Model,6
110,Alc,male,54,8,4,0.277,H2O,start,124,123,Model,6
88,Alc,female,54,8,4,0.192,H2O,24_hrs,117,90,Model,6
89,Ctrl,female,54,8,4,0.206,H2O,24_hrs,124,86,Model,6
90,Ctrl,female,54,8,4,0.2,H2O,24_hrs,124,93,Model,6
92,Ctrl,female,54,8,4,0.222,H2O,24_hrs,82,116,Model,6
93,Ctrl,female,54,8,4,0.195,H2O,24_hrs,123,88,Model,6
94,Alc,female,54,8,4,0.2,H2O,24_hrs,99,114,Model,6
97,Alc,female,54,8,4,0.126,H2O,24_hrs,123,90,Model,6
99,Alc,female,54,8,4,0.236,H2O,24_hrs,115,82,Model,6
